fold_id,nominal_coverage,empirical_coverage
fold_1,0.5,0.46
fold_2,0.5,0.47
fold_3,0.5,0.51
fold_4,0.5,0.48
aggregate,0.5,0.48
fold_1,0.6,0.55
fold_2,0.6,0.56
fold_3,0.6,0.61
fold_4,0.6,0.59
aggregate,0.6,0.58
fold_1,0.7,0.67
fold_2,0.7,0.68
fold_3,0.7,0.72
fold_4,0.7,0.7
aggregate,0.7,0.69
fold_1,0.8,0.75
fold_2,0.8,0.77
fold_3,0.8,0.8
fold_4,0.8,0.8
aggregate,0.8,0.78
fold_1,0.9,0.88
fold_2,0.9,0.88
fold_3,0.9,0.91
fold_4,0.9,0.9
aggregate,0.9,0.89
fold_1,0.95,0.93
fold_2,0.95,0.94
fold_3,0.95,0.95
fold_4,0.95,0.94
aggregate,0.95,0.94
