fold_id,model_name,segment,rebill_period_t,expected_active_users,actual_active_users,expected_ltv_usd,actual_ltv_usd,n_rows
fold_1,Baseline_Survival,2021-W14_SUB_MONTHLY_APAC_ANZ,5,3.9945,3.0,139.63,99.0,1
fold_1,Baseline_Survival,2021-W14_SUB_MONTHLY_APAC_ANZ,6,3.5823,2.0,198.74,132.0,1
fold_1,BdW,2021-W14_SUB_MONTHLY_APAC_ANZ,5,2.6281,3.0,97.73,99.0,1
fold_1,BdW,2021-W14_SUB_MONTHLY_APAC_ANZ,6,2.2417,2.0,134.72,132.0,1
fold_1,Baseline_Survival,2021-W14_SUB_MONTHLY_APAC_EA,5,3.3897,2.0,119.98,66.0,1
fold_1,Baseline_Survival,2021-W14_SUB_MONTHLY_APAC_EA,6,2.7863,1.0,165.96,82.5,1
fold_1,BdW,2021-W14_SUB_MONTHLY_APAC_EA,5,1.6965,2.0,68.86,66.0,1
fold_1,BdW,2021-W14_SUB_MONTHLY_APAC_EA,6,1.3562,1.0,91.24,82.5,1
fold_1,Baseline_Survival,2021-W14_SUB_MONTHLY_APAC_SEA,5,4.0846,3.0,141.98,99.0,1
fold_1,Baseline_Survival,2021-W14_SUB_MONTHLY_APAC_SEA,6,3.4613,2.0,199.09,132.0,1
fold_1,BdW,2021-W14_SUB_MONTHLY_APAC_SEA,5,2.5495,3.0,94.54,99.0,1
fold_1,BdW,2021-W14_SUB_MONTHLY_APAC_SEA,6,2.0856,2.0,128.95,132.0,1
fold_1,Baseline_Survival,2021-W14_SUB_MONTHLY_CIS,5,6.6593,4.0,235.46,148.5,1
fold_1,Baseline_Survival,2021-W14_SUB_MONTHLY_CIS,6,5.8164,3.0,331.04,198.0,1
fold_1,BdW,2021-W14_SUB_MONTHLY_CIS,5,4.0887,4.0,151.43,148.5,1
fold_1,BdW,2021-W14_SUB_MONTHLY_CIS,6,3.3116,3.0,209.5,198.0,1
fold_1,Baseline_Survival,2021-W14_SUB_MONTHLY_EU_DACH,5,3.7901,2.0,134.92,82.5,1
fold_1,Baseline_Survival,2021-W14_SUB_MONTHLY_EU_DACH,6,3.3918,2.0,190.88,115.5,1
fold_1,BdW,2021-W14_SUB_MONTHLY_EU_DACH,5,2.4043,2.0,87.02,82.5,1
fold_1,BdW,2021-W14_SUB_MONTHLY_EU_DACH,6,1.8508,2.0,117.56,115.5,1
fold_1,Baseline_Survival,2021-W14_SUB_MONTHLY_EU_EAST,5,3.2677,2.0,118.97,82.5,1
fold_1,Baseline_Survival,2021-W14_SUB_MONTHLY_EU_EAST,6,2.9705,1.0,167.98,99.0,1
fold_1,BdW,2021-W14_SUB_MONTHLY_EU_EAST,5,1.8617,2.0,73.45,82.5,1
fold_1,BdW,2021-W14_SUB_MONTHLY_EU_EAST,6,1.5125,1.0,98.41,99.0,1
fold_1,Baseline_Survival,2021-W14_SUB_MONTHLY_EU_NORTH,5,3.8619,2.0,135.3,82.5,1
fold_1,Baseline_Survival,2021-W14_SUB_MONTHLY_EU_NORTH,6,3.4435,2.0,192.12,115.5,1
fold_1,BdW,2021-W14_SUB_MONTHLY_EU_NORTH,5,2.5442,2.0,90.5,82.5,1
fold_1,BdW,2021-W14_SUB_MONTHLY_EU_NORTH,6,1.8997,2.0,121.85,115.5,1
fold_1,Baseline_Survival,2021-W14_SUB_MONTHLY_EU_SOUTH,5,3.5605,2.0,125.48,82.5,1
fold_1,Baseline_Survival,2021-W14_SUB_MONTHLY_EU_SOUTH,6,3.0036,2.0,175.04,115.5,1
fold_1,BdW,2021-W14_SUB_MONTHLY_EU_SOUTH,5,2.153,2.0,76.46,82.5,1
fold_1,BdW,2021-W14_SUB_MONTHLY_EU_SOUTH,6,1.6643,2.0,103.92,115.5,1
fold_1,Baseline_Survival,2021-W14_SUB_MONTHLY_EU_WEST,5,3.669,2.0,130.75,82.5,1
fold_1,Baseline_Survival,2021-W14_SUB_MONTHLY_EU_WEST,6,3.317,2.0,185.48,115.5,1
fold_1,BdW,2021-W14_SUB_MONTHLY_EU_WEST,5,2.2585,2.0,83.35,82.5,1
fold_1,BdW,2021-W14_SUB_MONTHLY_EU_WEST,6,1.7768,2.0,112.67,115.5,1
fold_1,Baseline_Survival,2021-W14_SUB_MONTHLY_LATAM,5,7.9904,5.0,284.94,181.5,1
fold_1,Baseline_Survival,2021-W14_SUB_MONTHLY_LATAM,6,7.107,4.0,401.85,247.5,1
fold_1,BdW,2021-W14_SUB_MONTHLY_LATAM,5,5.0307,5.0,198.26,181.5,1
fold_1,BdW,2021-W14_SUB_MONTHLY_LATAM,6,4.5935,4.0,281.76,247.5,1
fold_1,Baseline_Survival,2021-W14_SUB_MONTHLY_MENA,5,4.5399,3.0,163.23,115.5,1
fold_1,Baseline_Survival,2021-W14_SUB_MONTHLY_MENA,6,3.9982,2.0,229.2,148.5,1
fold_1,BdW,2021-W14_SUB_MONTHLY_MENA,5,2.8136,3.0,105.19,115.5,1
fold_1,BdW,2021-W14_SUB_MONTHLY_MENA,6,2.2838,2.0,142.87,148.5,1
fold_1,Baseline_Survival,2021-W14_SUB_MONTHLY_NA_CA,5,4.0157,3.0,140.29,99.0,1
fold_1,Baseline_Survival,2021-W14_SUB_MONTHLY_NA_CA,6,3.401,2.0,196.4,132.0,1
fold_1,BdW,2021-W14_SUB_MONTHLY_NA_CA,5,2.4893,3.0,89.89,99.0,1
fold_1,BdW,2021-W14_SUB_MONTHLY_NA_CA,6,1.997,2.0,122.84,132.0,1
fold_1,Baseline_Survival,2021-W14_SUB_MONTHLY_NA_US,5,3.7532,2.0,129.34,82.5,1
fold_1,Baseline_Survival,2021-W14_SUB_MONTHLY_NA_US,6,3.2554,2.0,183.05,115.5,1
fold_1,BdW,2021-W14_SUB_MONTHLY_NA_US,5,2.3118,2.0,85.85,82.5,1
fold_1,BdW,2021-W14_SUB_MONTHLY_NA_US,6,1.778,2.0,115.19,115.5,1
fold_1,Baseline_Survival,2021-W14_SUB_MONTHLY_ROW,5,3.914,2.0,137.19,82.5,1
fold_1,Baseline_Survival,2021-W14_SUB_MONTHLY_ROW,6,3.2486,2.0,190.79,115.5,1
fold_1,BdW,2021-W14_SUB_MONTHLY_ROW,5,2.4167,2.0,88.9,82.5,1
